Character,Image_URL
Goblin Queen,https://upload.wikimedia.org/wikipedia/en/thumb/9/91/Goblin_Queen_%28Madelyne_Pryor%29.png/220px-Goblin_Queen_%28Madelyne_Pryor%29.png
Godzilla,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Godzilla_%281954%29.jpg/220px-Godzilla_%281954%29.jpg
Gog,https://static.wikia.nocookie.net/marvel_dc/images/7/79/Gog_-_Thy_Kingdom_Come.jpg/revision/latest/scale-to-width-down/330?cb=20200520095412
Goku,https://upload.wikimedia.org/wikipedia/en/thumb/4/4c/GokumangaToriyama.png/220px-GokumangaToriyama.png
Gorilla Grodd,https://upload.wikimedia.org/wikipedia/en/thumb/7/76/Gorilla_Grodd.png/220px-Gorilla_Grodd.png
Granny Goodness,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Granny_Goodness_%28circa_1971%29.png/220px-Granny_Goodness_%28circa_1971%29.png
Greedo,https://upload.wikimedia.org/wikipedia/en/thumb/d/d0/GreedoStarWars.jpg/220px-GreedoStarWars.jpg
Green Arrow,https://upload.wikimedia.org/wikipedia/en/thumb/1/1f/Green_Arrow_%28circa_2021%29.jpg/220px-Green_Arrow_%28circa_2021%29.jpg
Green Goblin,https://upload.wikimedia.org/wikipedia/en/thumb/6/6c/Green_Goblin_Comic_Art_by_Luke_Ross.webp/220px-Green_Goblin_Comic_Art_by_Luke_Ross.webp.png
Green Goblin II,https://upload.wikimedia.org/wikipedia/en/thumb/1/17/Harry_Osborn.png/220px-Harry_Osborn.png
